Sum of Sales,Order Date,forecastValue,confidenceHighBound,confidenceLowBound
73.94,2019-01-01 00:00:00,,,
405.92,2019-01-02 00:00:00,,,
2095.83,2019-01-03 00:00:00,,,
1069.22,2019-01-04 00:00:00,,,
255.904,2019-01-05 00:00:00,,,
83.576,2019-01-07 00:00:00,,,
1859.158,2019-01-08 00:00:00,,,
743.046,2019-01-09 00:00:00,,,
174.75,2019-01-10 00:00:00,,,
149.444,2019-01-11 00:00:00,,,
405.344,2019-01-14 00:00:00,,,
701.923,2019-01-15 00:00:00,,,
102.218,2019-01-16 00:00:00,,,
1040.55,2019-01-17 00:00:00,,,
1167.056,2019-01-21 00:00:00,,,
917.63,2019-01-22 00:00:00,,,
1732.3,2019-01-23 00:00:00,,,
31.36,2019-01-24 00:00:00,,,
858.712,2019-01-25 00:00:00,,,
39.68,2019-01-28 00:00:00,,,
3107.316,2019-01-30 00:00:00,,,
1601.554,2019-01-31 00:00:00,,,
1161.97,2019-02-01 00:00:00,,,
4996.784,2019-02-02 00:00:00,,,
866.4,2019-02-03 00:00:00,,,
197.868,2019-02-04 00:00:00,,,
2994.476,2019-02-05 00:00:00,,,
132.224,2019-02-06 00:00:00,,,
762.142,2019-02-07 00:00:00,,,
1369.476,2019-02-08 00:00:00,,,
121.83,2019-02-09 00:00:00,,,
69.93,2019-02-11 00:00:00,,,
1366.04,2019-02-12 00:00:00,,,
146.82,2019-02-13 00:00:00,,,
837.921,2019-02-14 00:00:00,,,
407.072,2019-02-15 00:00:00,,,
1135.638,2019-02-16 00:00:00,,,
392.66,2019-02-19 00:00:00,,,
16.496,2019-02-20 00:00:00,,,
1524.126,2019-02-21 00:00:00,,,
983.17,2019-02-22 00:00:00,,,
57.576,2019-02-23 00:00:00,,,
46.72,2019-02-25 00:00:00,,,
243.892,2019-02-27 00:00:00,,,
147.584,2019-02-28 00:00:00,,,
6285.806,2019-03-01 00:00:00,,,
7264.422,2019-03-03 00:00:00,,,
315.45,2019-03-04 00:00:00,,,
162.344,2019-03-05 00:00:00,,,
811.303,2019-03-06 00:00:00,,,
21.072,2019-03-07 00:00:00,,,
2190.81,2019-03-08 00:00:00,,,
635.6,2019-03-09 00:00:00,,,
7879.734,2019-03-10 00:00:00,,,
896.022,2019-03-11 00:00:00,,,
1694.642,2019-03-12 00:00:00,,,
8866.882,2019-03-13 00:00:00,,,
669.368,2019-03-14 00:00:00,,,
2356.808,2019-03-15 00:00:00,,,
2360.334,2019-03-17 00:00:00,,,
1061.682,2019-03-18 00:00:00,,,
138.68,2019-03-19 00:00:00,,,
928.311,2019-03-20 00:00:00,,,
645.706,2019-03-21 00:00:00,,,
226.468,2019-03-22 00:00:00,,,
745.774,2019-03-24 00:00:00,,,
1346.97,2019-03-25 00:00:00,,,
682.246,2019-03-26 00:00:00,,,
92.7,2019-03-27 00:00:00,,,
125.3,2019-03-28 00:00:00,,,
2659.339,2019-03-29 00:00:00,,,
11.34,2019-03-30 00:00:00,,,
640.762,2019-03-31 00:00:00,,,
2161.48,2019-04-01 00:00:00,,,
1454.9,2019-04-02 00:00:00,,,
441.198,2019-04-03 00:00:00,,,
970.194,2019-04-04 00:00:00,,,
1046.334,2019-04-05 00:00:00,,,
1294.75,2019-04-06 00:00:00,,,
1970.574,2019-04-07 00:00:00,,,
2906.404,2019-04-08 00:00:00,,,
1115.197,2019-04-09 00:00:00,,,
950.594,2019-04-10 00:00:00,,,
1542.53,2019-04-12 00:00:00,,,
6.12,2019-04-13 00:00:00,,,
1466.572,2019-04-14 00:00:00,,,
2201.856,2019-04-15 00:00:00,,,
9335.086,2019-04-16 00:00:00,,,
421.085,2019-04-17 00:00:00,,,
2514.538,2019-04-18 00:00:00,,,
1414.132,2019-04-19 00:00:00,,,
271.616,2019-04-21 00:00:00,,,
1765.465,2019-04-22 00:00:00,,,
720.368,2019-04-23 00:00:00,,,
1607.1,2019-04-24 00:00:00,,,
108.42,2019-04-25 00:00:00,,,
434.646,2019-04-26 00:00:00,,,
486.672,2019-04-28 00:00:00,,,
142.208,2019-04-30 00:00:00,,,
517.866,2019-05-01 00:00:00,,,
1098.136,2019-05-02 00:00:00,,,
1099.013,2019-05-03 00:00:00,,,
2701.28,2019-05-05 00:00:00,,,
236.96,2019-05-06 00:00:00,,,
4835.976,2019-05-07 00:00:00,,,
1340.244,2019-05-08 00:00:00,,,
1283.512,2019-05-09 00:00:00,,,
763.02,2019-05-10 00:00:00,,,
5.98,2019-05-11 00:00:00,,,
918.878,2019-05-12 00:00:00,,,
455.93,2019-05-14 00:00:00,,,
648.912,2019-05-15 00:00:00,,,
880.46,2019-05-16 00:00:00,,,
346.922,2019-05-17 00:00:00,,,
122.22,2019-05-18 00:00:00,,,
1582.008,2019-05-19 00:00:00,,,
2471.913,2019-05-20 00:00:00,,,
2718.214,2019-05-21 00:00:00,,,
1799.2,2019-05-22 00:00:00,,,
4560.978,2019-05-23 00:00:00,,,
277.756,2019-05-24 00:00:00,,,
1311.97,2019-05-25 00:00:00,,,
1975.356,2019-05-26 00:00:00,,,
5305.078,2019-05-27 00:00:00,,,
2137.324,2019-05-28 00:00:00,,,
1063.185,2019-05-29 00:00:00,,,
8090.578,2019-05-30 00:00:00,,,
438.859,2019-05-31 00:00:00,,,
157.844,2019-06-02 00:00:00,,,
71.088,2019-06-03 00:00:00,,,
2316.523,2019-06-04 00:00:00,,,
659.82,2019-06-05 00:00:00,,,
6026.312,2019-06-06 00:00:00,,,
51.562,2019-06-07 00:00:00,,,
1688.472,2019-06-09 00:00:00,,,
1412.396,2019-06-10 00:00:00,,,
1623.416,2019-06-11 00:00:00,,,
2962.563,2019-06-12 00:00:00,,,
430.438,2019-06-13 00:00:00,,,
3457.099,2019-06-14 00:00:00,,,
173.488,2019-06-15 00:00:00,,,
147.275,2019-06-16 00:00:00,,,
3000.92,2019-06-17 00:00:00,,,
541.938,2019-06-18 00:00:00,,,
17.12,2019-06-19 00:00:00,,,
1229.548,2019-06-20 00:00:00,,,
577.108,2019-06-21 00:00:00,,,
2475.094,2019-06-23 00:00:00,,,
5310.952,2019-06-24 00:00:00,,,
893.266,2019-06-25 00:00:00,,,
1919.6,2019-06-26 00:00:00,,,
778.706,2019-06-27 00:00:00,,,
877.156,2019-06-28 00:00:00,,,
191.88,2019-06-29 00:00:00,,,
1352.95,2019-06-30 00:00:00,,,
1724.376,2019-07-01 00:00:00,,,
772.786,2019-07-02 00:00:00,,,
847.7,2019-07-03 00:00:00,,,
1651.301,2019-07-04 00:00:00,,,
3882.231,2019-07-07 00:00:00,,,
2616.512,2019-07-08 00:00:00,,,
573.286,2019-07-09 00:00:00,,,
895.895,2019-07-10 00:00:00,,,
95.76,2019-07-12 00:00:00,,,
2149.96,2019-07-14 00:00:00,,,
380.2,2019-07-15 00:00:00,,,
910.17,2019-07-16 00:00:00,,,
2184.88,2019-07-17 00:00:00,,,
2891.858,2019-07-18 00:00:00,,,
1536.454,2019-07-19 00:00:00,,,
89.95,2019-07-20 00:00:00,,,
991.095,2019-07-21 00:00:00,,,
1368.048,2019-07-22 00:00:00,,,
654.587,2019-07-23 00:00:00,,,
326.964,2019-07-24 00:00:00,,,
5920.488,2019-07-25 00:00:00,,,
2033.374,2019-07-28 00:00:00,,,
819.154,2019-07-29 00:00:00,,,
1770.776,2019-07-30 00:00:00,,,
2174.158,2019-07-31 00:00:00,,,
1124.648,2019-08-01 00:00:00,,,
482.584,2019-08-02 00:00:00,,,
248.82,2019-08-03 00:00:00,,,
497.91,2019-08-04 00:00:00,,,
197.05,2019-08-05 00:00:00,,,
320.388,2019-08-06 00:00:00,,,
179.97,2019-08-07 00:00:00,,,
1115.204,2019-08-08 00:00:00,,,
661.354,2019-08-09 00:00:00,,,
151.82,2019-08-11 00:00:00,,,
3951.9605,2019-08-12 00:00:00,,,
731.524,2019-08-13 00:00:00,,,
923.688,2019-08-14 00:00:00,,,
1680.266,2019-08-15 00:00:00,,,
204.54,2019-08-16 00:00:00,,,
15.712,2019-08-17 00:00:00,,,
496.114,2019-08-18 00:00:00,,,
448.792,2019-08-19 00:00:00,,,
14.78,2019-08-20 00:00:00,,,
4798.292,2019-08-21 00:00:00,,,
405.35,2019-08-22 00:00:00,,,
4187.348,2019-08-23 00:00:00,,,
4874.298,2019-08-26 00:00:00,,,
767.911,2019-08-27 00:00:00,,,
322.0248,2019-08-28 00:00:00,,,
632.188,2019-08-29 00:00:00,,,
1656.87,2019-08-30 00:00:00,,,
23.968,2019-08-31 00:00:00,,,
5766.152,2019-09-01 00:00:00,,,
6792.193,2019-09-02 00:00:00,,,
2365.596,2019-09-03 00:00:00,,,
4532.042,2019-09-04 00:00:00,,,
5226.348,2019-09-05 00:00:00,,,
1313.536,2019-09-06 00:00:00,,,
4493.9836,2019-09-08 00:00:00,,,
84.992,2019-09-09 00:00:00,,,
2094.324,2019-09-10 00:00:00,,,
6501.586,2019-09-11 00:00:00,,,
2043.792,2019-09-12 00:00:00,,,
2374.73,2019-09-13 00:00:00,,,
1137.338,2019-09-14 00:00:00,,,
2101.182,2019-09-15 00:00:00,,,
425.886,2019-09-16 00:00:00,,,
2043.126,2019-09-17 00:00:00,,,
4751.082,2019-09-18 00:00:00,,,
3839.312,2019-09-19 00:00:00,,,
1232.004,2019-09-20 00:00:00,,,
615.57,2019-09-22 00:00:00,,,
1322.145,2019-09-23 00:00:00,,,
2286.05,2019-09-24 00:00:00,,,
3443.091,2019-09-25 00:00:00,,,
2698.1665,2019-09-26 00:00:00,,,
1992.9858,2019-09-27 00:00:00,,,
99.136,2019-09-28 00:00:00,,,
1307.792,2019-09-29 00:00:00,,,
525.884,2019-09-30 00:00:00,,,
781.414,2019-10-01 00:00:00,,,
1452.972,2019-10-02 00:00:00,,,
1680.696,2019-10-03 00:00:00,,,
5912.782,2019-10-04 00:00:00,,,
830.4,2019-10-06 00:00:00,,,
973.712,2019-10-07 00:00:00,,,
561.536,2019-10-08 00:00:00,,,
546.92,2019-10-09 00:00:00,,,
282.753,2019-10-10 00:00:00,,,
33.064,2019-10-11 00:00:00,,,
1650.618,2019-10-13 00:00:00,,,
3335.888,2019-10-14 00:00:00,,,
1620.15,2019-10-15 00:00:00,,,
142.182,2019-10-16 00:00:00,,,
2953.346,2019-10-17 00:00:00,,,
307.92,2019-10-18 00:00:00,,,
946.174,2019-10-20 00:00:00,,,
7951.592,2019-10-21 00:00:00,,,
188.28,2019-10-22 00:00:00,,,
467.422,2019-10-23 00:00:00,,,
1365.498,2019-10-24 00:00:00,,,
783.96,2019-10-25 00:00:00,,,
978.79,2019-10-27 00:00:00,,,
2899.021,2019-10-28 00:00:00,,,
131.154,2019-10-29 00:00:00,,,
159.002,2019-10-30 00:00:00,,,
3750.499,2019-10-31 00:00:00,,,
453.374,2019-11-01 00:00:00,,,
3802.796,2019-11-03 00:00:00,,,
3888.818,2019-11-04 00:00:00,,,
4266.8988,2019-11-05 00:00:00,,,
